	Inputs                       Outputs
HEX D3  D2  D1  D0    Sg  Sf  Se  Sd  Sc  Sb  Sa  Hex
0   0   0   0   0     0   1   1   1   1   1   1   0x3F
1   0   0   0   1     0   0   0   0   1   1   0   0x06
2   0   0   1   0     1   0   1   1   0   1   1   0x5B
3   0   0   1   1     1   0   0   1   1   1   1   0x4f
4   0   1   0   0     1   1   0   0   1   1   0   0x66
5   0   1   0   1     1   1   0   1   1   0   1   0x6D
6   0   1   1   0     1   1   1   1   1   0   1   0x7D
7   0   1   1   1     0   0   0   0   1   1   1   0x07
8   1   0   0   0     1   1   1   1   1   1   1   0x7F
9   1   0   0   1     1   1   0   1   1   1   1   0x6F
A   1   0   1   0     1   1   1   0   1   1   1   0x77
B   1   0   1   1     1   1   1   1   1   0   0   0x7C
C   1   1   0   0     1   0   1   1   0   0   0   0x58
D   1   1   0   1     1   0   1   1   1   1   0   0x5E
E   1   1   1   0     1   1   1   1   0   0   1   0x79
F   1   1   1   1     1   1   1   0   0   0   1   0x71
